FEN:ID,:LABEL,Parameter Name,Data Type
"com.fasterxml.jackson.core.sym.Name3.<init>(String,int,int,int,int).i2",Parameter_4,i2,int
"com.fasterxml.jackson.core.sym.Name3.<init>(String,int,int,int,int).i3",Parameter_5,i3,int
com.fasterxml.jackson.core.sym.Name.equals(int).q1,Parameter_1,q1,int
"com.fasterxml.jackson.core.sym.Name.equals(int,int).q1",Parameter_1,q1,int
"com.fasterxml.jackson.core.sym.Name.equals(int,int).q2",Parameter_2,q2,int
"com.fasterxml.jackson.core.sym.Name.equals(int,int,int).q1",Parameter_1,q1,int
"com.fasterxml.jackson.core.sym.Name.equals(int,int,int).q2",Parameter_2,q2,int
"com.fasterxml.jackson.core.sym.Name.equals(int,int,int).q3",Parameter_3,q3,int
"com.fasterxml.jackson.core.sym.Name.equals(int[],int).quads",Parameter_1,quads,int[]
"com.fasterxml.jackson.core.sym.Name.equals(int[],int).qlen",Parameter_2,qlen,int
com.fasterxml.jackson.core.sym.Name.equals(Object).o,Parameter_1,o,java.lang.Object
"com.fasterxml.jackson.core.sym.Name.<init>(String,int).name",Parameter_1,name,java.lang.String
"com.fasterxml.jackson.core.sym.Name.<init>(String,int).hashCode",Parameter_2,hashCode,int
"com.fasterxml.jackson.core.sym.NameN.construct(String,int,int[],int).name",Parameter_1,name,java.lang.String
"com.fasterxml.jackson.core.sym.NameN.construct(String,int,int[],int).hash",Parameter_2,hash,int
"com.fasterxml.jackson.core.sym.NameN.construct(String,int,int[],int).q",Parameter_3,q,int[]
"com.fasterxml.jackson.core.sym.NameN.construct(String,int,int[],int).qlen",Parameter_4,qlen,int
com.fasterxml.jackson.core.sym.NameN.equals(int).quad,Parameter_1,quad,int
"com.fasterxml.jackson.core.sym.NameN.equals(int,int).quad1",Parameter_1,quad1,int
"com.fasterxml.jackson.core.sym.NameN.equals(int,int).quad2",Parameter_2,quad2,int
"com.fasterxml.jackson.core.sym.NameN.equals(int,int,int).quad1",Parameter_1,quad1,int
"com.fasterxml.jackson.core.sym.NameN.equals(int,int,int).quad2",Parameter_2,quad2,int
"com.fasterxml.jackson.core.sym.NameN.equals(int,int,int).quad3",Parameter_3,quad3,int
"com.fasterxml.jackson.core.sym.NameN.equals(int[],int).quads",Parameter_1,quads,int[]
"com.fasterxml.jackson.core.sym.NameN.equals(int[],int).len",Parameter_2,len,int
com.fasterxml.jackson.core.sym.NameN._equals2(int[]).quads,Parameter_1,quads,int[]
"com.fasterxml.jackson.core.sym.NameN.<init>(String,int,int,int,int,int,int[],int).name",Parameter_1,name,java.lang.String
"com.fasterxml.jackson.core.sym.NameN.<init>(String,int,int,int,int,int,int[],int).hash",Parameter_2,hash,int
"com.fasterxml.jackson.core.sym.NameN.<init>(String,int,int,int,int,int,int[],int).q1",Parameter_3,q1,int
"com.fasterxml.jackson.core.sym.NameN.<init>(String,int,int,int,int,int,int[],int).q2",Parameter_4,q2,int
"com.fasterxml.jackson.core.sym.NameN.<init>(String,int,int,int,int,int,int[],int).q3",Parameter_5,q3,int
"com.fasterxml.jackson.core.sym.NameN.<init>(String,int,int,int,int,int,int[],int).q4",Parameter_6,q4,int
"com.fasterxml.jackson.core.sym.NameN.<init>(String,int,int,int,int,int,int[],int).quads",Parameter_7,quads,int[]
"com.fasterxml.jackson.core.sym.NameN.<init>(String,int,int,int,int,int,int[],int).quadLen",Parameter_8,quadLen,int
com.fasterxml.jackson.core.PrettyPrinter.writeRootValueSeparator(JsonGenerator).gen,Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
com.fasterxml.jackson.core.PrettyPrinter.writeStartObject(JsonGenerator).gen,Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
"com.fasterxml.jackson.core.PrettyPrinter.writeEndObject(JsonGenerator,int).gen",Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
"com.fasterxml.jackson.core.PrettyPrinter.writeEndObject(JsonGenerator,int).nrOfEntries",Parameter_2,nrOfEntries,int
com.fasterxml.jackson.core.PrettyPrinter.writeObjectEntrySeparator(JsonGenerator).gen,Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
com.fasterxml.jackson.core.PrettyPrinter.writeObjectFieldValueSeparator(JsonGenerator).gen,Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
com.fasterxml.jackson.core.PrettyPrinter.writeStartArray(JsonGenerator).gen,Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
"com.fasterxml.jackson.core.PrettyPrinter.writeEndArray(JsonGenerator,int).gen",Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
"com.fasterxml.jackson.core.PrettyPrinter.writeEndArray(JsonGenerator,int).nrOfValues",Parameter_2,nrOfValues,int
com.fasterxml.jackson.core.PrettyPrinter.writeArrayValueSeparator(JsonGenerator).gen,Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
com.fasterxml.jackson.core.PrettyPrinter.beforeArrayValues(JsonGenerator).gen,Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
com.fasterxml.jackson.core.PrettyPrinter.beforeObjectEntries(JsonGenerator).gen,Parameter_1,gen,com.fasterxml.jackson.core.JsonGenerator
com.fasterxml.jackson.core.StreamWriteConstraints.overrideDefaultStreamWriteConstraints(StreamWriteConstraints).streamWriteConstraints,Parameter_1,streamWriteConstraints,com.fasterxml.jackson.core.StreamWriteConstraints
com.fasterxml.jackson.core.StreamWriteConstraints.validateNestingDepth(int).depth,Parameter_1,depth,int
"com.fasterxml.jackson.core.StreamWriteConstraints._constructException(String,Object[]).msgTemplate",Parameter_1,msgTemplate,java.lang.String
"com.fasterxml.jackson.core.StreamWriteConstraints._constructException(String,Object[]).args",Parameter_2,args,java.lang.Object[]
com.fasterxml.jackson.core.StreamWriteConstraints._constrainRef(String).method,Parameter_1,method,java.lang.String
com.fasterxml.jackson.core.StreamWriteConstraints.<init>(int).maxNestingDepth,Parameter_1,maxNestingDepth,int
com.fasterxml.jackson.core.StreamWriteConstraints$Builder.maxNestingDepth(int).maxNestingDepth,Parameter_1,maxNestingDepth,int
com.fasterxml.jackson.core.StreamWriteConstraints$Builder.<init>(int).maxNestingDepth,Parameter_1,maxNestingDepth,int
com.fasterxml.jackson.core.StreamWriteConstraints$Builder.<init>(StreamWriteConstraints).src,Parameter_1,src,com.fasterxml.jackson.core.StreamWriteConstraints
com.fasterxml.jackson.core.StreamWriteCapability.enabledIn(int).flags,Parameter_1,flags,int
"com.fasterxml.jackson.core.JsonProcessingException.<init>(String,JsonLocation,Throwable).msg",Parameter_1,msg,java.lang.String
"com.fasterxml.jackson.core.JsonProcessingException.<init>(String,JsonLocation,Throwable).loc",Parameter_2,loc,com.fasterxml.jackson.core.JsonLocation
"com.fasterxml.jackson.core.JsonProcessingException.<init>(String,JsonLocation,Throwable).rootCause",Parameter_3,rootCause,java.lang.Throwable
com.fasterxml.jackson.core.JsonProcessingException.<init>(String).msg,Parameter_1,msg,java.lang.String
