FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.jxpath.JXPathInvalidSyntaxException.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 504555366032561816L;,long serialVersionUID,"private , static , final "
org.apache.commons.jxpath.JXPathInvalidAccessException.serialVersionUID,Field,No Comment,private static final long serialVersionUID = -8875537628056117241L;,long serialVersionUID,"private , static , final "
org.apache.commons.jxpath.ClassFunctions.EMPTY_ARRAY,Field,No Comment,private static final Object[] EMPTY_ARRAY = {};,java.lang.Object[] EMPTY_ARRAY,"private , static , final "
org.apache.commons.jxpath.ClassFunctions.functionClass,Field,No Comment,private final Class functionClass;,java.lang.Class functionClass,"private , final "
org.apache.commons.jxpath.ClassFunctions.namespace,Field,No Comment,private final String namespace;,java.lang.String namespace,"private , final "
org.apache.commons.jxpath.XMLDocumentContainer.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 1L;,long serialVersionUID,"private , static , final "
org.apache.commons.jxpath.XMLDocumentContainer.delegate,Field,No Comment,private DocumentContainer delegate;,org.apache.commons.jxpath.xml.DocumentContainer delegate,private 
org.apache.commons.jxpath.XMLDocumentContainer.document,Field,No Comment,private Object document;,java.lang.Object document,private 
org.apache.commons.jxpath.XMLDocumentContainer.xmlURL,Field,No Comment,private URL xmlURL;,java.net.URL xmlURL,private 
org.apache.commons.jxpath.XMLDocumentContainer.source,Field,No Comment,private Source source;,javax.xml.transform.Source source,private 
org.apache.commons.jxpath.ri.Parser.PARSER,Field,No Comment,"private static final XPathParser PARSER = new XPathParser(new StringReader(""""));",org.apache.commons.jxpath.ri.parser.XPathParser PARSER,"private , static , final "
org.apache.commons.jxpath.ri.axes.AncestorContext.nodeTest,Field,No Comment,private final NodeTest nodeTest;,org.apache.commons.jxpath.ri.compiler.NodeTest nodeTest,"private , final "
org.apache.commons.jxpath.ri.axes.AncestorContext.setStarted,Field,No Comment,private boolean setStarted = false;,boolean setStarted,private 
org.apache.commons.jxpath.ri.axes.AncestorContext.currentNodePointer,Field,No Comment,private NodePointer currentNodePointer;,org.apache.commons.jxpath.ri.model.NodePointer currentNodePointer,private 
org.apache.commons.jxpath.ri.axes.AncestorContext.includeSelf,Field,No Comment,private final boolean includeSelf;,boolean includeSelf,"private , final "
org.apache.commons.jxpath.ri.axes.ParentContext.nodeTest,Field,No Comment,private final NodeTest nodeTest;,org.apache.commons.jxpath.ri.compiler.NodeTest nodeTest,"private , final "
org.apache.commons.jxpath.ri.axes.ParentContext.setStarted,Field,No Comment,private boolean setStarted = false;,boolean setStarted,private 
org.apache.commons.jxpath.ri.axes.ParentContext.currentNodePointer,Field,No Comment,private NodePointer currentNodePointer;,org.apache.commons.jxpath.ri.model.NodePointer currentNodePointer,private 
org.apache.commons.jxpath.ri.axes.PrecedingOrFollowingContext.nodeTest,Field,No Comment,private final NodeTest nodeTest;,org.apache.commons.jxpath.ri.compiler.NodeTest nodeTest,"private , final "
org.apache.commons.jxpath.ri.axes.PrecedingOrFollowingContext.setStarted,Field,No Comment,private boolean setStarted = false;,boolean setStarted,private 
org.apache.commons.jxpath.ri.axes.PrecedingOrFollowingContext.stack,Field,No Comment,private Stack stack = null;,java.util.Stack stack,private 
org.apache.commons.jxpath.ri.axes.PrecedingOrFollowingContext.currentNodePointer,Field,No Comment,private NodePointer currentNodePointer;,org.apache.commons.jxpath.ri.model.NodePointer currentNodePointer,private 
org.apache.commons.jxpath.ri.axes.PrecedingOrFollowingContext.currentRootLocation,Field,No Comment,private NodePointer currentRootLocation;,org.apache.commons.jxpath.ri.model.NodePointer currentRootLocation,private 
org.apache.commons.jxpath.ri.axes.PrecedingOrFollowingContext.reverse,Field,No Comment,private final boolean reverse;,boolean reverse,"private , final "
org.apache.commons.jxpath.ri.axes.NamespaceContext.nodeTest,Field,No Comment,private final NodeTest nodeTest;,org.apache.commons.jxpath.ri.compiler.NodeTest nodeTest,"private , final "
org.apache.commons.jxpath.ri.axes.NamespaceContext.setStarted,Field,No Comment,private boolean setStarted = false;,boolean setStarted,private 
org.apache.commons.jxpath.ri.axes.NamespaceContext.iterator,Field,No Comment,private NodeIterator iterator;,org.apache.commons.jxpath.ri.model.NodeIterator iterator,private 
org.apache.commons.jxpath.ri.axes.NamespaceContext.currentNodePointer,Field,No Comment,private NodePointer currentNodePointer;,org.apache.commons.jxpath.ri.model.NodePointer currentNodePointer,private 
org.apache.commons.jxpath.ri.axes.PredicateContext.expression,Field,No Comment,private final Expression expression;,org.apache.commons.jxpath.ri.compiler.Expression expression,"private , final "
org.apache.commons.jxpath.ri.axes.PredicateContext.done,Field,No Comment,private boolean done = false;,boolean done,private 
org.apache.commons.jxpath.ri.axes.PredicateContext.nameTestExpression,Field,No Comment,private Expression nameTestExpression;,org.apache.commons.jxpath.ri.compiler.Expression nameTestExpression,private 
org.apache.commons.jxpath.ri.axes.PredicateContext.dynamicPropertyPointer,Field,No Comment,private PropertyPointer dynamicPropertyPointer;,org.apache.commons.jxpath.ri.model.beans.PropertyPointer dynamicPropertyPointer,private 
org.apache.commons.jxpath.ri.axes.NodeSetContext.startedSet,Field,No Comment,private boolean startedSet = false;,boolean startedSet,private 
org.apache.commons.jxpath.ri.axes.NodeSetContext.nodeSet,Field,No Comment,private final NodeSet nodeSet;,org.apache.commons.jxpath.NodeSet nodeSet,"private , final "
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.QNAME_NAME,Field,No Comment,"private static final QName QNAME_NAME = new QName(null, ""name"");",org.apache.commons.jxpath.ri.QName QNAME_NAME,"private , static , final "
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.PERFECT_MATCH,Field,No Comment,private static final int PERFECT_MATCH = 1000;,int PERFECT_MATCH,"private , static , final "
org.apache.commons.jxpath.ri.axes.InitialContext.started,Field,No Comment,private boolean started = false;,boolean started,private 
org.apache.commons.jxpath.ri.axes.InitialContext.collection,Field,No Comment,private boolean collection;,boolean collection,private 
org.apache.commons.jxpath.ri.axes.InitialContext.nodePointer,Field,No Comment,private final NodePointer nodePointer;,org.apache.commons.jxpath.ri.model.NodePointer nodePointer,"private , final "
org.apache.commons.jxpath.ri.axes.DescendantContext.nodeTest,Field,No Comment,private final NodeTest nodeTest;,org.apache.commons.jxpath.ri.compiler.NodeTest nodeTest,"private , final "
org.apache.commons.jxpath.ri.axes.DescendantContext.setStarted,Field,No Comment,private boolean setStarted = false;,boolean setStarted,private 
org.apache.commons.jxpath.ri.axes.DescendantContext.stack,Field,No Comment,private Stack stack = null;,java.util.Stack stack,private 
